nWifis,queueLength,maxHopCount,benchmark,parameter,sent,received,lost,packet_loss,delivery_ratio
50,0,50,QueueLength,0,5940,0,5940,100,0
50,100,50,QueueLength,100,5940,353,5587,94.0572,5.94276
50,200,50,QueueLength,200,5940,783,5157,86.8182,13.1818
50,300,50,QueueLength,300,5940,964,4976,83.771,16.229
50,400,50,QueueLength,400,5940,1246,4694,79.0236,20.9764
50,500,50,QueueLength,500,5940,1413,4527,76.2121,23.7879
50,600,50,QueueLength,600,5940,1301,4639,78.0976,21.9024
50,700,50,QueueLength,700,5940,1240,4700,79.1246,20.8754
50,800,50,QueueLength,800,5940,1338,4602,77.4747,22.5253
50,900,50,QueueLength,900,5940,1243,4697,79.0741,20.9259
50,1000,50,QueueLength,1000,5940,1641,4299,72.3737,27.6263
50,1100,50,QueueLength,1100,5940,1648,4292,72.2559,27.7441
50,1200,50,QueueLength,1200,5940,1926,4014,67.5758,32.4242
50,1300,50,QueueLength,1300,5940,1300,4640,78.1145,21.8855
50,1400,50,QueueLength,1400,5940,1362,4578,77.0707,22.9293
50,1500,50,QueueLength,1500,5940,1337,4603,77.4916,22.5084
50,1600,50,QueueLength,1600,5940,1865,4075,68.6027,31.3973
50,1700,50,QueueLength,1700,5940,1663,4277,72.0034,27.9966
50,1800,50,QueueLength,1800,5940,1271,4669,78.6027,21.3973
50,1900,50,QueueLength,1900,5940,1584,4356,73.3333,26.6667
50,2000,50,QueueLength,2000,5940,1120,4820,81.1448,18.8552
