nWifis,queueLength,hopCount,sent,received,lost,packet_loss,delivery_ratio
50,200,60,7350,789,6561,89.2653,10.7347
50,2000,50,7350,1352,5998,81.6054,18.3946
50,100,60,7350,423,6927,94.2449,5.7551
50,200,65,7350,789,6561,89.2653,10.7347
50,300,70,7350,1149,6201,84.3673,15.6327
50,400,75,7350,1394,5956,81.034,18.966
50,500,80,7350,1554,5796,78.8571,21.1429
50,600,85,7350,1686,5664,77.0612,22.9388
50,700,90,7350,1747,5603,76.2313,23.7687
50,800,95,7350,1788,5562,75.6735,24.3265
50,900,100,7350,1934,5416,73.6871,26.3129
50,1000,200,7350,1957,5393,73.3741,26.6259
50,2000,300,7350,1575,5775,78.5714,21.4286
50,3000,400,7350,1586,5764,78.4218,21.5782
50,4000,500,7350,1586,5764,78.4218,21.5782
50,5000,600,7350,1586,5764,78.4218,21.5782
50,6000,700,7350,1586,5764,78.4218,21.5782
50,7000,800,7350,1586,5764,78.4218,21.5782
50,8000,900,7350,1586,5764,78.4218,21.5782
50,9000,1000,7350,1586,5764,78.4218,21.5782
50,100,50,7350,423,6927,94.2449,5.7551
55,200,50,8910,912,7998,89.7643,10.2357
60,300,50,10620,1494,9126,85.9322,14.0678
65,400,50,12480,1961,10519,84.2869,15.7131
70,500,50,14490,2157,12333,85.1139,14.8861
75,600,50,16650,2500,14150,84.985,15.015
80,700,50,18960,2889,16071,84.7627,15.2373
85,800,50,21420,3149,18271,85.2988,14.7012
90,900,50,24030,3446,20584,85.6596,14.3404
100,1000,50,29700,3578,26122,87.9529,12.0471
40,2000,50,4680,1494,3186,68.0769,31.9231
30,3000,50,2610,986,1624,62.2222,37.7778
20,4000,50,1140,351,789,69.2105,30.7895
10,5000,50,270,6,264,97.7778,2.22222
25,6000,50,1800,618,1182,65.6667,34.3333
35,7000,50,3570,1253,2317,64.902,35.098
45,8000,50,5940,1596,4344,73.1313,26.8687
55,9000,50,8910,1712,7198,80.7856,19.2144
50,1000,50,7350,1957,5393,73.3741,26.6259
60,1000,100,10620,2544,8076,76.0452,23.9548
70,1000,200,14490,2824,11666,80.5107,19.4893
80,1000,300,18960,3267,15693,82.769,17.231
90,1000,400,24030,3410,20620,85.8094,14.1906
85,1000,350,21420,3383,18037,84.2063,15.7937
75,1000,250,16650,3015,13635,81.8919,18.1081
65,1000,150,12480,2631,9849,78.9183,21.0817
55,1000,95,8910,2113,6797,76.2851,23.7149
45,1000,85,5940,1780,4160,70.0337,29.9663
35,1000,75,3570,1221,2349,65.7983,34.2017
30,1000,65,2610,1017,1593,61.0345,38.9655
25,1000,55,1800,619,1181,65.6111,34.3889
20,1000,45,1140,351,789,69.2105,30.7895
10,1000,40,270,6,264,97.7778,2.22222
15,1000,35,630,189,441,70,30
25,1000,25,1800,619,1181,65.6111,34.3889
40,1000,20,4680,1607,3073,65.6624,34.3376
