nWifis,queueLength,hopCount,benchmark,parameter,sent,received,lost,packet_loss,delivery_ratio,overhead
50,2000,1,HopCount,1,5940,732,5208,87.6768,12.3232,8.11475
50,2000,2,HopCount,2,5940,825,5115,86.1111,13.8889,7.2
50,2000,3,HopCount,3,5940,1146,4794,80.7071,19.2929,5.18325
50,2000,4,HopCount,4,5940,1169,4771,80.3199,19.6801,5.08127
50,2000,5,HopCount,5,5940,1545,4395,73.9899,26.0101,3.84466
50,2000,6,HopCount,6,5940,1430,4510,75.9259,24.0741,4.15385
50,2000,7,HopCount,7,5940,1398,4542,76.4646,23.5354,4.24893
50,2000,8,HopCount,8,5940,1217,4723,79.5118,20.4882,4.88085
50,2000,9,HopCount,9,5940,1291,4649,78.266,21.734,4.60108
50,2000,10,HopCount,10,5940,1050,4890,82.3232,17.6768,5.65714
50,2000,11,HopCount,11,5940,1410,4530,76.2626,23.7374,4.21277
50,2000,12,HopCount,12,5940,1422,4518,76.0606,23.9394,4.17722
50,2000,13,HopCount,13,5940,1652,4288,72.1886,27.8114,3.59564
50,2000,14,HopCount,14,5940,1062,4878,82.1212,17.8788,5.59322
50,2000,15,HopCount,15,5940,1261,4679,78.771,21.229,4.71055
50,2000,16,HopCount,16,5940,1200,4740,79.798,20.202,4.95
50,2000,17,HopCount,17,5940,1727,4213,70.9259,29.0741,3.43949
50,2000,18,HopCount,18,5940,1515,4425,74.4949,25.5051,3.92079
50,2000,19,HopCount,19,5940,1309,4631,77.963,22.037,4.53782
50,2000,20,HopCount,20,5940,1550,4390,73.9057,26.0943,3.83226
50,2000,21,HopCount,21,5940,1120,4820,81.1448,18.8552,5.30357
50,2000,22,HopCount,22,5940,902,5038,84.8148,15.1852,6.58537
50,2000,23,HopCount,23,5940,1441,4499,75.7407,24.2593,4.12214
50,2000,24,HopCount,24,5940,1142,4798,80.7744,19.2256,5.2014
50,2000,25,HopCount,25,5940,1647,4293,72.2727,27.7273,3.60656
50,2000,26,HopCount,26,5940,1106,4834,81.3805,18.6195,5.37071
50,2000,27,HopCount,27,5940,1599,4341,73.0808,26.9192,3.71482
50,2000,28,HopCount,28,5940,1399,4541,76.4478,23.5522,4.24589
50,2000,29,HopCount,29,5940,1781,4159,70.0168,29.9832,3.3352
50,2000,30,HopCount,30,5940,1365,4575,77.0202,22.9798,4.35165
50,2000,31,HopCount,31,5940,1266,4674,78.6869,21.3131,4.69194
50,2000,32,HopCount,32,5940,1408,4532,76.2963,23.7037,4.21875
50,2000,33,HopCount,33,5940,1384,4556,76.7003,23.2997,4.29191
50,2000,34,HopCount,34,5940,1191,4749,79.9495,20.0505,4.98741
50,2000,35,HopCount,35,5940,1309,4631,77.963,22.037,4.53782
50,2000,36,HopCount,36,5940,1722,4218,71.0101,28.9899,3.44948
50,2000,37,HopCount,37,5940,1445,4495,75.6734,24.3266,4.11073
50,2000,38,HopCount,38,5940,1194,4746,79.899,20.101,4.97487
50,2000,39,HopCount,39,5940,1441,4499,75.7407,24.2593,4.12214
50,2000,40,HopCount,40,5940,1642,4298,72.3569,27.6431,3.61754
50,2000,41,HopCount,41,5940,1607,4333,72.9461,27.0539,3.69633
50,2000,42,HopCount,42,5940,1322,4618,77.7441,22.2559,4.49319
50,2000,43,HopCount,43,5940,1472,4468,75.2189,24.7811,4.03533
50,2000,44,HopCount,44,5940,1304,4636,78.0471,21.9529,4.55521
50,2000,45,HopCount,45,5940,1359,4581,77.1212,22.8788,4.37086
50,2000,46,HopCount,46,5940,1179,4761,80.1515,19.8485,5.03817
50,2000,47,HopCount,47,5940,1478,4462,75.1178,24.8822,4.01894
50,2000,48,HopCount,48,5940,1174,4766,80.2357,19.7643,5.05963
50,2000,49,HopCount,49,5940,1079,4861,81.835,18.165,5.5051
50,2000,50,HopCount,50,5940,1645,4295,72.3064,27.6936,3.61094
