nWifis,queueLength,hopCount,benchmark,parameter,sent,received,lost,packet_loss,delivery_ratio
5,2000,50,NodeCount,5,60,0,60,100,0
10,2000,50,NodeCount,10,270,31,239,88.5185,11.4815
15,2000,50,NodeCount,15,630,79,551,87.4603,12.5397
20,2000,50,NodeCount,20,1140,193,947,83.0702,16.9298
25,2000,50,NodeCount,25,1800,259,1541,85.6111,14.3889
30,2000,50,NodeCount,30,2610,695,1915,73.3716,26.6284
35,2000,50,NodeCount,35,3570,579,2991,83.7815,16.2185
40,2000,50,NodeCount,40,4680,1234,3446,73.6325,26.3675
45,2000,50,NodeCount,45,5940,1649,4291,72.2391,27.7609
50,2000,50,NodeCount,50,7350,1156,6194,84.2721,15.7279
55,2000,50,NodeCount,55,8910,1566,7344,82.4242,17.5758
60,2000,50,NodeCount,60,10620,1571,9049,85.2072,14.7928
65,2000,50,NodeCount,65,12480,2017,10463,83.8381,16.1619
70,2000,50,NodeCount,70,14490,1980,12510,86.3354,13.6646
75,2000,50,NodeCount,75,16650,2086,14564,87.4715,12.5285
80,2000,50,NodeCount,80,18960,2361,16599,87.5475,12.4525
85,2000,50,NodeCount,85,21420,2227,19193,89.6032,10.3968
90,2000,50,NodeCount,90,24030,2361,21669,90.1748,9.82522
95,2000,50,NodeCount,95,26790,2410,24380,91.0041,8.99589
100,2000,50,NodeCount,100,29700,2237,27463,92.468,7.53199
